Class_ID,Class_Name,Rank,Feature,Mean_Absolute_SHAP
1,TWF,1,Tool wear,3.6598148345947266
1,TWF,2,Power_W,0.6087442636489868
1,TWF,3,Torque,0.5780217051506042
1,TWF,4,Rotational speed,0.39012932777404785
1,TWF,5,Temp_diff,0.36885160207748413
1,TWF,6,Air temperature,0.3242054879665375
1,TWF,7,Process temperature,0.2694386839866638
1,TWF,8,Type_Code,0.24158141016960144
2,HDF,1,Temp_diff,3.149625778198242
2,HDF,2,Rotational speed,2.2378084659576416
2,HDF,3,Air temperature,0.5102638602256775
2,HDF,4,Tool wear,0.46970635652542114
2,HDF,5,Torque,0.1646241396665573
2,HDF,6,Power_W,0.06722535938024521
2,HDF,7,Process temperature,0.05034564808011055
2,HDF,8,Type_Code,0.035803522914648056
3,PWF,1,Power_W,3.85278582572937
3,PWF,2,Torque,1.0576326847076416
3,PWF,3,Tool wear,0.4232039749622345
3,PWF,4,Rotational speed,0.12676334381103516
3,PWF,5,Process temperature,0.12520350515842438
3,PWF,6,Air temperature,0.07268556207418442
3,PWF,7,Temp_diff,0.056037746369838715
3,PWF,8,Type_Code,0.00030914548551663756
4,OSF,1,Tool wear,2.829632520675659
4,OSF,2,Torque,2.2410569190979004
4,OSF,3,Power_W,1.2889333963394165
4,OSF,4,Rotational speed,0.44212523102760315
4,OSF,5,Temp_diff,0.4030846953392029
4,OSF,6,Type_Code,0.2102624773979187
4,OSF,7,Process temperature,0.08465069532394409
4,OSF,8,Air temperature,0.06834843009710312
